constituency,category,state,winning_candidate,party,electors,votes,turnout_pct,margin,margin_pct,year
Tiruchirappall,GEN,Tamil Nadu,Durai Vaiko,Marumalarchi Dravida Munnetra Kazhagam,1553985,1055964,68.0,313094.0,29.7,2024
Tirunelveli,GEN,Tamil Nadu,Robert Bruce C,Indian National Congress,1654503,1067448,64.5,165620.0,15.5,2024
Tirupati,SC,Andhra Pradesh [2014 Onwards],Gurumoorthy Maddila,Yuvajana Sramika Rythu Congress Party,1729832,1382570,79.9,14569.0,1.1,2024
Tiruppur,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,1608521,1142549,71.0,125928.0,11.0,2024
Tiruvannamalai,GEN,Tamil Nadu,"Annadurai, C.N.",Dravida Munnetra Kazhagam,1533099,1146273,74.7,233931.0,20.4,2024
Tonk-Sawai Mad,GEN,Rajasthan,Harish Chandra Meena,Indian National Congress,2148128,1226584,57.1,64949.0,5.3,2024
Tripura East,ST,Tripura,Kriti Devi Debbarman,Bharatiya Janta Party,1396761,1134345,81.2,486819.0,42.9,2024
Tripura West,GEN,Tripura,Biplab Kumar Deb,Bharatiya Janta Party,1463526,1209809,82.7,611578.0,50.6,2024
Tumkur,GEN,Karnataka,V. Somanna,Bharatiya Janta Party,1661309,1303451,78.5,175594.0,13.5,2024
Tura,ST,Meghalaya,Saleng A Sangma,Indian National Congress,826156,674056,81.6,155241.0,23.0,2024
Udaipur,ST,Rajasthan,Manna Lal Rawat,Bharatiya Janta Party,2230971,1498376,67.2,261608.0,17.5,2024
Udhampur,,Jammu & Kashmir,Dr Jitendra Singh,Bharatiya Janta Party,1623195,1113727,68.6,124373.0,11.2,2024
Udupi Chikmaga,GEN,Karnataka,Kota Srinivas Poojary,Bharatiya Janta Party,1585162,1229418,77.6,259175.0,21.1,2024
Ujiarpur,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,1745408,1042068,59.7,60102.0,5.8,2024
Ujjain,SC,Madhya Pradesh [2000 Onwards],Anil Firojiya,Bharatiya Janta Party,1798704,1328580,73.7,375860.0,28.3,2024
Uluberia,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,1741438,1390794,79.9,218673.0,15.7,2024
Unnao,GEN,Uttar Pradesh [2000 Onwards],Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,2341740,1302271,55.6,35818.0,2.8,2024
Uttara Kannada,GEN,Karnataka,Vishweshwar Hegde Kageri,Bharatiya Janta Party,1641156,1262761,76.9,337428.0,26.7,2024
Vadakara,GEN,Kerala,Shafi Parambil,Indian National Congress,1421883,1122947,79.0,114506.0,10.2,2024
Vadodara,GEN,Gujarat,Dr. Hemang Joshi,Bharatiya Janta Party,1949573,1212149,62.2,582126.0,48.0,2024
Vaishali,GEN,Bihar [2000 Onwards],Veena Devi,Lok Janshakti Party(Ram Vilas),1869178,1172060,62.7,89634.0,7.6,2024
Valmiki Nagar,GEN,Bihar [2000 Onwards],Sunil Kumar,Janata Dal (United),1827281,1101830,60.3,98675.0,9.0,2024
Valsad,ST,Gujarat,Dhaval Laxmanbhai Patel,Bharatiya Janta Party,1859974,1361411,73.2,210704.0,15.5,2024
